Stage Name,Full Name,Korean Name,K Stage Name,Date of Birth,Group,Debut,Company,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender
Dayoung,Im Dayoung,임다영,다영,14/05/1999,WJSN,25/02/2016,Starship,South Korea,,161,,Jeju,WJSN Chocome,,F
Dayun,Kim Dayun,김다윤,다윤,20/11/2000,Bonus Baby,1/01/2017,Maroo,South Korea,,164,,,,,F
Della,Park Sehyun,박세현,델라,3/09/1995,Rockit Girl,30/05/2019,Rolling,South Korea,,,,,,,F
Denise,Kim Denise,김데니스,데니스,11/01/2001,SECRET NUMBER,19/05/2020,Vine,South Korea,USA,,,,,,F
Dey,Kim Sehyun,김세현,데이,11/06/2003,YOUNITE,20/04/2022,Brand New,South Korea,,,,,,,M
Dia,Kwak Minnyeong,곽민녕,디아,3/09/1999,Maka Maka,4/08/2020,Dreamus,South Korea,,,,,,,F
Dia,Choi Eunji,최은지,디아,16/07/2001,Pixy,24/02/2021,ALLART,South Korea,,165,,,,,F
Dino,Lee Chan,이찬,디노,11/02/1999,Seventeen,26/05/2015,Pledis,South Korea,,167,54,Iksan,,,M
Dita,Dita Karang,디타 가랑,디타,25/12/1996,SECRET NUMBER,19/05/2020,Vine,Indonesia,,,,Yogyakarta,,,F
DK,Kim Dokyun,김도균,닥,16/02/1998,BLANK2Y,24/05/2022,Keystone,South Korea,,,,,,,M
DK,Kim Donghyuk,김동혁,디케이,3/01/1997,iKON,15/09/2015,YG,South Korea,,,,,,,M
DK,Lee Seongmin,이석민,도겸,18/02/1997,Seventeen,26/05/2015,Pledis,South Korea,,178,68,Yongin,,,M
Doa,Im Youngseo,임영서,도아,29/10/2001,"We;Na",5/09/2022,Shine E&M,South Korea,,158,44,,,,F
Do-A,Choi Yuna,최윤아,도아,2/02/1999,ALICE,1/07/2017,IOK Company,South Korea,,,,,,,F
Doah,Kim Doah,김도아,도아,4/12/2003,FANATICS,6/08/2019,FENT,South Korea,,163,42,,FANATICS FLAVOR,,F
Doha,Na Gyumin,나규민,도하,7/03/2004,BAE173,19/11/2020,PocketDol,South Korea,,,,,,,M
Doha,Park Doha,박도하,도하,27/03/1992,XEED,1/12/2022,Nature Space,South Korea,,175,65,Seoul,,,M
Dohee,Yoon Dohee,윤도희,도희,24/09/1999,,,,South Korea,,,,,,NeonPunch,F
Dohee,Kwon Dohee,권도희,도희,1/08/2002,Cignature,4/02/2020,C9,South Korea,,158,39,Seoul,,,F
Dohee,Min Dohee,민도희,도희,25/09/1994,Tiny-G,23/08/2012,GNG,South Korea,,152,39,,,,F
Dohwan,Gil Dohwan,길도환,도환,26/08/2003,Ciipher,15/03/2021,Rain,South Korea,,175,61,,,,M
Dohyon,Nam Dohyon,남도현,도현,10/11/2004,BAE173,19/11/2020,PocketDol,South Korea,,180,62,,,X1,M
Dohyuk,Kim Dohyuk,김도혁,도혁,16/01/1998,14U,17/04/2017,BG,South Korea,,,,,,,M
Doi,Kim Doi,김도이,도이,12/04/1994,FANATICS,6/08/2019,FENT,South Korea,,170,,,,,F
Dojin,Jeon Yongtae,전용태,도진,7/03/1997,ENOi,19/04/2019,KITHEWHALE,South Korea,,181,61,,,,M
Dokyun,Na Dokyun,나도균,도균,11/02/1991,HISTORY,26/04/2013,LOEN,South Korea,,184,65,Daejeon,,,M
Donggeon,Song Donggeon,송동건,동건,15/07/1999,TOO,1/04/2020,n.CH,South Korea,,,,,,,M
Donghae,Lee Donghae,이동해,동해,15/10/1986,Super Junior,6/11/2005,SM,South Korea,,176,60,Mokpo,Super Junior-M,,M
Donghan,Kim Donghan,김동한,동한,3/07/1998,WEi,5/10/2020,OUI,South Korea,,,,Daegu,,JBJ,M
Dongheon,Lee Dongheon,이동헌,동헌,4/08/1995,Verivery,1/09/2019,Jellyfish,South Korea,,,,,,,M
Donghun,Lee Donghun,이동훈,동훈,15/05/1993,A.C.E,23/05/2017,Beat,South Korea,,,,Suncheon,,,M
Donghyuk,Park Donghyuk,박동혁,동혁,18/12/1999,BLANK2Y,24/05/2022,Keystone,South Korea,,178,61,,,ENOi,M
Donghyun,Kim Donghyun,김동현,동현,17/09/1998,AB6IX,22/05/2019,Brand New,South Korea,,,,Daejeon,MXM,,M
Donghyun,Kim Donghyun,김동현,동현,12/02/1989,Boyfriend,26/05/2011,Starship,South Korea,,178,60,Seoul,,,M
Donghyun,Kim Donghyun,김동현,동현,23/02/1999,Golden Child,28/08/2017,Woollim,South Korea,,,,,,,M
Dongjun,Hwang Dongjun,황동준,동준,7/09/1999,,,,South Korea,,,,,,Ghost9,M
Dongjun,Kim Dongjun,김동준,동준,11/02/1992,ZE:A,7/01/2010,Star Empire,South Korea,,,,Busan,,,M
Dongkyu,Moon Dongkyu,문동규,동규,16/11/1992,Spectrum,9/05/2018,WYNN,South Korea,,,,,,,M
Dongmyeong,Son Dongmyeong,곤동명,동명,20/01/2000,Onewe,9/01/2019,RBW,South Korea,,,,,,MAS,M
Dongpyo,Son Dongpyo,손동표,동표,9/09/2002,Mirae,17/03/2021,DSP,South Korea,,166,48,,,X1,M
Dongwan,Kim Dongwan,김동완,동완,21/11/1979,Shinhwa,24/03/1998,SM| Good| Shinhwa,South Korea,,173,68,Pohang,,,M
Dongwon,Lee Dongwon,이동원,동원,1/01/1994,KNK,3/03/2016,YNB,South Korea,,184,,,,,M
Dongwoo,Jang Dongwoo,장동우,동우,22/11/1990,Infinite,9/06/2010,Woollim,South Korea,,171,58,Guri,Infinite H,,M
Dongwoon,Son Dongwoon,손동운,동운,6/06/1991,Highlight,14/10/2009,Around Us,South Korea,,181,64,Busan,,Beast,M
Dongyun,Kim Dongyun,김동윤,동윤,18/02/2002,DRIPPIN,26/10/2020,Woollim,South Korea,,177,61,,,,M
Doojoon,Yoon Doojoon,윤두준,두준,4/07/1989,Highlight,14/10/2009,Around Us,South Korea,,177,66,Goyang,,Beast,M
Doryun,Kim Doryun,킴도륜,도륜,1/05/2000,AIMERS,17/11/2022,Hyper Rhythm,South Korea,,,,,,,M
Dosie,Jang Eunseung,장은성,도시,11/02/2000,Purple Kiss,15/03/2021,RBW,South Korea,,,,,,,F
Douhyun,Yoo Douhyun,유도현,도현,25/12/2000,Mirae,17/03/2021,DSP,South Korea,,,,,,,M
Dowoon,Yoon Dowoon,윤도운,도운,25/08/1995,DAY6,7/09/2015,JYP,South Korea,,,,,,,M
Doyeon,Kim Doyeon,김도연,도연,4/12/1999,Weki Meki,8/08/2017,Fantagio,South Korea,,,,Incheon,I.O.I| WJMK,,F
Doyoung,Kim Dongyoung,김동영,도영,1/02/1996,NCT,9/04/2016,SM,South Korea,,,,Guri,NCT U| NCT 127,,M
Doyoung,Kim Doyoung,김도영,도영,4/12/2003,Treasure,7/08/2020,YG,South Korea,,,,,,,M
Duna,Kang Duna,강두나,두나,28/04/2005,CSR,27/07/2022,A2Z,South Korea,,,,Gangwon,,,F
DY,Jeon Doyum,전도염,도염,21/02/2002,JUST B,30/06/2021,Bluedot,South Korea,,175,55,Daejeon,,1the9,M
Dylan,Park Yeonjae,박연재,딜란,26/07/2002,D-CRUNCH,6/08/2018,All-S,South Korea,,,,,,,M
E.Ji,Choi Jiwon,최지원,이지,8/11/2000,ICHILLIN',8/09/2021,KM,South Korea,,,,,,,F
E.sha,Kwon Yena,권예나,이샤,29/12/1998,X:IN,11/04/2023,Escrow,Australia,South Korea,,,,,,F
E.sol,Jeon Jaehyuk,전재혁,이솔,17/09/1992,14U,17/04/2017,BG,South Korea,,,,,,,M
E:U,Park Jiwon,박지원,이유,19/05/1998,Everglow,18/03/2019,Yuehua,South Korea,,,,,,,F
E-Chan,Lee Changmin,이창민,이찬,19/02/1997,DKB,3/02/2020,Brave,South Korea,,178,63,,,,M
E'Dawn,Kim Hyojong,김효종,이던,1/06/1994,,,,South Korea,,,,,,PENTAGON,M
Eden,Jae Won,재원,이든,27/03/1998,NINE.i,30/03/2022,FirstOne,South Korea,,,,,,,M
EJ,Kim Eunji,김은지,이제이,13/08/1997,ALICE,1/07/2017,IOK Company,South Korea,,164,47,,,,F
Eli,Ellison Kim,엘리슨 킴,일라이,13/03/1991,U-KISS,28/08/2008,NH Media,USA,South Korea,,,Los Angeles,,,M
Elkie,Chong Ting Yan,쫑딩얀,엘키,2/11/1998,,,,Hong Kong,,163,45,Hong Kong,,CLC,F
Ella,Kim Kyungjoo,김경주,엘라,26/03/1998,,,,South Korea,,,,,,Cherry Bullet| Pixy,F
Ellin,Kim Minyoung,김민영,엘린,2/04/1990,Crayon Pop,18/07/2012,Chrome,South Korea,,165,44,Daegu,,,F
Elly,Jung Haerim,정해림,엘리,20/07/1998,Weki Meki,8/08/2017,Fantagio,South Korea,,,,,,,F
Ellyn,Bang Sunhee,방선희,엘린,19/10/2002,Girlkind,16/01/2018,Nextlevel,South Korea,,,170,,,,F
Elva,Lee Yonghwa,이용화,엘바,5/05/2003,ILY:1,4/04/2022,FC ENM,South Korea,,,,,,,F
Eric,Moon Junghyuk,문정혁,에릭,16/02/1979,Shinhwa,24/03/1998,SM| Good| Shinhwa,South Korea,,180,70,Seoul,,,M
Eric,Son Youngjae,손영재,에릭,22/12/2000,The Boyz,31/12/2017,Cre.Ker,South Korea,,171,56,,,,M
Eseo,Noh Hyunjung,노현정,이서,4/03/1996,LUNARSOLAR,2/09/2020,J Planet,South Korea,,161,,,,,F
Eson,Kim Jungmin,김정민,이슨,28/12/1996,We In The Zone,27/05/2019,Choon,South Korea,USA,177,63,Honolulu,,,M
E-tion,Lee Changyoon,이창윤,이션,24/12/1994,ONF,2/08/2017,WM,South Korea,,,,Jeonju,,,M
Euaerin,Lee Hyemin,이혜민,이유애린,3/05/1988,,,,South Korea,,174,48,Seoul,,9Muses,F
Euijin,Lee Euijin,이의진,의진,15/02/1990,Bigflo,19/07/2014,HO,South Korea,,,,Seoul,,,M
Euijin,Hong Euijin,홍의진,의진,8/10/1996,Sonamoo,29/12/2014,TS,South Korea,,168,,Gwangju,UNI.T,,F
Eun,Choi Eunmi,최은미,은,14/05/1990,Two X,20/08/2012,J. Tune,South Korea,,,,,,,F
Euna,,,은아,25/05/2003,"We;Na",5/09/2022,Shine E&M,South Korea,,164,,,,,F
EunB,Shin Eunbi,신은비,은비,17/09/2000,Maka Maka,4/08/2020,Dreamus,South Korea,,,,,,Lip Bubble,F
EunB,Byun Eunbi,변은비,은비,23/11/2000,PRECIOUS,23/09/2020,Umi,South Korea,,164,49,Busan,,,F
Eunbi,Kwon Eunbi,권은비,은비,27/09/1995,IZ*ONE,29/10/2018,Off The Record,South Korea,,,,Seoul,,,F
Eunbin,Kwon Eunbin,권은빈,은빈,6/01/2000,CLC,19/03/2015,Cube,South Korea,,167,48,Seoul,,,F
Eunchae,Son Eunchae,손은채,은채,6/10/1999,bugAboo,25/10/2021,A team,South Korea,,154,38,Pohang,,,F
Eunchae,Kwon Chaewon,권채원,은채,26/05/1999,DIA,14/07/2015,MBK,South Korea,,,,,,,F
Eunchae,Hong Eunchae,홍은채,은채,10/11/2006,LE SSERAFIM,2/05/2022,Source,South Korea,,172,,,,,F
Eunchan,Choi Byeongseop,최병섭,은찬,27/02/2001,TEMPEST,2/03/2022,Yuehua,South Korea,,184,,,,,M
Eunha,Jung Eunbi,정은비,은하,30/05/1997,VIVIZ,9/02/2022,Big Planet Made,South Korea,,163,,Seoul,,Gfriend,F
Eunho,Shin Donggeun,신동근,은호,10/09/1992,UNVS,23/02/2020,CHITWN,South Korea,,,,,,,M
Eunho,Myung Eunho,명은호,은호,25/03/2001,YOUNITE,20/04/2022,Brand New,South Korea,,,,,,,M
Eunhyuk,Lee Hyukjae,이혁재,은혁,4/04/1986,Super Junior,6/11/2005,SM,South Korea,,176,58,Ilsan,Super Junior-M,,M
Eunice,Heo Sooyeon,허수연,유니스,2/09/1991,DIA,14/07/2015,MBK,South Korea,,166,49,Busan,,,F
Eunil,Kim Eunil,김은일,은일,21/11/2003,TRENDZ,5/01/2022,Interpark,South Korea,,,,,,,M
Eunjae,Kwak Eunjae,곽은재,은재,2/05/1996,14U,17/04/2017,BG,South Korea,,,,,,,M
Eunji,Jung Eunji,정은지,은지,18/08/1993,Apink,19/04/2011,Plan A,South Korea,,163,,Busan,,,F
Eunji,Hong Eunji,홍은지,은지,19/07/1992,Brave Girls,8/04/2011,Brave,South Korea,,,,Seoul,,,F
Eunjin,Ahn Eunjin,안은진,은진,31/08/1997,,,,South Korea,,170,49,Mokpo,,DIA,F
Eunjin,Moon Eunjin,문은진,은진,5/11/1998,Highteen,14/10/2016,Elijah,South Korea,,,,,,,F
Eunjin,Ma Eunjin,마은진,은진,23/05/1997,Playback,25/06/2015,Coridel,South Korea,,165,49,Wonju,,,F
Eunjo,Park Eunjo,박은조,은조,7/03/2002,Dreamnote,7/11/2018,iME,South Korea,,164,46,,,,F
Eunjun,Choi Eunjun,최은준,은준,6/08/1999,AIMERS,17/11/2022,Hyper Rhythm,South Korea,,,,,,Spectrum,M
Eunjung,Ham Eunjung,함은정,은정,12/12/1988,T-ara,29/07/2009,MBK,South Korea,,167,47,Seoul,,,F
Eunki,Hong Eunki,홍은기,은기,29/09/1997,,,,South Korea,,182,,,,RAINZ,M
Eunkwang,Seo Eunkwang,서은광,은광,22/11/1990,BtoB,21/03/2012,Cube,South Korea,,173,62,Yongin,,,M
Eunsang,Lee Eunsang,이은상,은상,26/10/2002,YOUNITE,20/04/2022,Brand New,South Korea,,180,58,,,X1,M
Eunseo,Son Juyeon,손주연,은서,27/05/1998,WJSN,25/02/2016,Starship,South Korea,,167,,Incheon,WJSN The Black,,F
Eunsung,Lee Eunsung,이은성,은성,7/09/2000,TheEastLight,15/11/2018,Stardium,South Korea,,,,,,,M
Eunwoo,Cha Eunwoo,차은우,은우,30/03/1997,ASTRO,23/02/2016,Fantagio,South Korea,,,,Gunpo,,,M
Eunwoo,Jeong Eunwoo,정은우,은우,1/07/1998,Hinapia,3/11/2019,Alseulbit,South Korea,,167,48,,Pristin V,Pristin,F
Eunyoung,Joo Eunyoung,주은영,은영,12/06/1992,Two X,20/08/2012,J. Tune,South Korea,,,,,,,F
Exy,Chu Sojung,추소정,엑시,6/11/1995,WJSN,25/02/2016,Starship,South Korea,,166,,Busan,WJSN The Black,,F
Eyedi,Nam Yujin,남유진,아이디,8/12/1995,,,,South Korea,,,,,,,F
E-Young,Noh Yiyoung,노이영,이영,16/08/1992,After School,15/01/2009,Pledis,South Korea,,,,Chuncheon,,,F
Fatou,Fatou Samba,파투 삼바,파투,23/03/1995,Blackswan,16/10/2020,DR,Belgium,Senegal,173,,Yoff,,,F
Fei,Wang FeiFei,왕페이페이,페이,27/04/1987,miss A,1/07/2010,JYP,China,,165,,Haikou,,,F
Felix,Lee Youngbok,이용복,필릭스,15/09/2000,Stray Kids,25/03/2018,JYP,South Korea,,,,Sydney,,,M
G.NA,Gina Jane Choi,최지나,지나,13/09/1987,,,,Canada,South Korea,167,,Edmonton,,,F
G.O,Jung Byunghee,정병희,지오,6/11/1987,MBLAQ,14/10/2009,J. Tune,South Korea,,,,Changwon,,,M
Gabin,Kim Gabin,김가빈,가빈,18/09/1989,Blady,16/05/2011,Star Planet,South Korea,,,,Busan,,,F
Gabin,Yoo Seunghyun,유승현,가빈,11/09/2001,JWiiver,17/02/2022,JTG,South Korea,,,,Busan,,,M
Gaeul,Park Gaeul,박가을,가을,8/05/1999,Favorite,5/07/2017,Astory,South Korea,,164,48,Seoul,,,F
Gaeul,Kim Gaeul,김가을,가을,24/09/2002,IVE,1/12/2021,Starship,South Korea,,166,46,Incheon,,,F
Gaeun,Cho Kaeun,조가은,가은,28/07/1992,,,,South Korea,,,,Changwon,,Dal Shabet,F
Gaeun,Lee Gaeun,이가은,가은,18/07/2000,ARTBEAT,16/11/2022,AB Creative,South Korea,,,,,,,F
Gaeun,Oh Gaeun,오가은,가은,8/11/2005,LIMELIGHT,17/02/2023,143,South Korea,,165,,,,,F
Gaga,Li Jia Jia,리 지아 지아,가가,1/09/1999,,,,China,,,,,,NATURE,F
Gaga,Lee Soobin,이수빈,가가,10/11/1994,Gate9,26/01/1999,JYP| SidusHQ,South Korea,,164,,,,,F
Gahyeon,Lee Gahyeon,이가현,가현,3/02/1999,Dreamcatcher,13/01/2017,Happy Face,South Korea,,,,Seongnam,,,F
Gain,Son Gain,손가인,가인,20/09/1987,Brown Eyed Girls,2/03/2006,Mystic,South Korea,,,,,,,F
Gaon,Beom Gaon,범가온,가온,9/03/2001,Bonus Baby,1/01/2017,Maroo,South Korea,,163,,,,,F
Garam,Kim Garam,김가람,가람,16/11/2005,,,,South Korea,,170,,,,LE SSERAFIM,F
Gayoon,Heo Gayoon,허가윤,가윤,18/05/1990,4minute,15/06/2009,Cube,South Korea,,165,,Seoul,2YOON,,F
Gayoung,Kim Gayoung,김가영,가영,2/12/1991,Stellar,28/08/2011,Pascal,South Korea,,,,Seoul,,,F
G-Dragon,Kwon Jiyong,권지용,지드래곤,18/08/1988,BIGBANG,19/08/2006,YG,South Korea,,177,58,Seoul,GD&TOP,,M
Genie,Cho Heejin,조희진,지니,19/03/2002,TRACER,3/04/2022,Gleamedia,South Korea,,,,,,,F
Geonu,Lee Geonwoo,이건우,건우,2/02/2001,JUST B,30/06/2021,Bluedot,South Korea,,176,,,,,M
Geumhee,Han Geumhee,한금희,금희,4/03/2005,CSR,27/07/2022,A2Z,South Korea,,,,Incheon,,,F
Geummi,Baek Boram,백보람,금미,18/06/1988,Crayon Pop,18/07/2012,Chrome,South Korea,,165,,Seoul,,,F
Gihwan,Kim Gihwan,김기환,기환,24/11/1993,SIGNAL,28/08/2019,J-Star,South Korea,,,,,,,M
Gijung,Kim Gijung,김기중,기중,24/01/2001,IM,4/04/2022,FC ENM,South Korea,,180,,,,,M
Gikwang,Lee Gikwang,이기광,기광,30/03/1990,Highlight,14/10/2009,Around Us,South Korea,,171,58,Gwangju,,Beast,M
Giru,Park Giru,박기루,기루,14/08/1991,Blady,16/05/2011,Star Planet,South Korea,,,,Incheon,,,F
Giselle,Uchinaga Aeri,우치나가 애리,지젤,30/10/2000,aespa,17/11/2020,SM,Japan,,166,,,,,F
Giseok,Jun Giseok,정기석,기석,2/05/1997,IM,4/04/2022,FC ENM,South Korea,,180,,,,,M
GK,Kim Kwanghyun,김광현,지케이,29/09/1998,DKB,3/02/2020,Brave,South Korea,,177,60,,,,M
Go_U,Jang Junho,고유,장준호,15/06/2001,BLITZERS,12/05/2021,Wuzo,South Korea,,,,,,,M
Goeun,Na Goeun,나고은,고은,3/09/1999,Purple Kiss,15/03/2021,RBW,South Korea,,160,44,,,,F
Gohn,Kim Dongsung,김동성,곤,1/08/1992,,,,South Korea,,,,Seoul,,Topp Dogg,M
Gohyeon,Go Hyeon,고현,고현,1/10/1994,14U,17/04/2017,BG,South Korea,,,,,,,M
Gon,Kim Seongjung,김성중,곤,13/11/1998,ARGON,11/03/2019,MSH,South Korea,,,,,,,M
Gongchan,Gong Chansik,공찬식,공찬,14/08/1993,B1A4,19/04/2010,WM,South Korea,,181,60,Suncheon,,,M
Gowon,Park Chaewon,박채원,고원,19/11/2000,LOONA,20/08/2018,Blockberry,South Korea,,,,,Loona yyxy,,F
Gowoon,Moon Yujeong,문유정,고운,18/12/1998,Berry Good,21/05/2014,Asia Bridge,South Korea,,167,,,,,F
Gracie,Kim Gaeun,김가운,그레이시,28/10/1996,H.U.B,9/02/2017,New Planet,South Korea,,,,,,,F
Gun,Kwak Gun,곽건,건,29/09/2001,14U,17/04/2017,BG,South Korea,,,,,,,M
Gunmin,Lee Gunmin,이건민,건민,3/10/1994,B.I.G,9/07/2014,GH,South Korea,,177,64,Gangwon,,,M
Gunwoo,Lee Gunwoo,이건우,건우,30/01/1989,MYNAME,27/10/2011,H2,South Korea,,,,Daejeon,,,M
Gunwoo,Kim Gunwoo,김건우,건우,28/05/2002,T1419,21/09/2007,CJ E&M,South Korea,,,,,,,M
Gyehyeon,Jo Gyehyeon,조계현,계현,14/05/1999,Verivery,1/09/2019,Jellyfish,South Korea,,,,,,,M
Gyeongtae,Kwon Gyeongtae,권경태,경태,23/07/2000,14U,17/04/2017,BG,South Korea,,,,,,,M
Gyujin,Han Gyujin,한규진,규진,21/11/1997,UP10TION,10/09/2015,TOP Media,South Korea,,,,Icheon,,,M
Gyuri,Jang Gyuri,장규리,규리,27/12/1997,,,,South Korea,,,,Seoul,,fromis_9,F
Gyuri,Park Gyuri,박규리,규리,21/05/1988,KARA,29/03/2007,DSP,South Korea,,,,Seoul,,,F
Habin,Yoo Habin,유하빈,하빈,10/03/2002,,,,South Korea,,165,48,,,Dreamnote,F
Haebin,Han Haebin,한해빈,해빈,16/08/1995,Gugudan,28/06/2016,Jellyfish,South Korea,,,,,,,F
Haechan,Lee Donghyuk,이동혁,해찬,6/06/2000,NCT,9/04/2016,SM,South Korea,,,,,NCT 127| NCT Dream,,M
Haein,Yeom Haein,염해인,해인,19/05/1995,LABOUM,27/08/2014,NH,South Korea,,162,45,Ojeonggu,,,F
Haemin,Jung Haemin,정해민,해민,16/03/2004,8TURN,30/01/2023,MNH,South Korea,,183,63,Cheonan,,,M
Haena,Jeon Eunbi,전은비,해나,19/02/2002,ANS,16/09/2019,ANS,South Korea,,,,,,,F
Haena,Lee Haena,이해나,해나,2/06/1991,Matilda,18/03/2016,Box,South Korea,,,165,,,,F
Haeri,Lee Haeri,이해리,해리,14/02/1985,Davichi,4/02/2008,CJ E&M,South Korea,,,,Seoul,,,F
Haeri,Jung Haeri,정해리,해리,14/01/1997,P.O.P,26/07/2017,DWM,South Korea,,,,Seoul,,,F
Haerin,Kang Haerin,강해린,해린,15/05/2006,NewJeans,22/07/2022,ADOR,South Korea,,165,,Gimcheon,,,F
Haeryeong,Na Haeryeong,나해령,해령,11/11/1994,BESTie,11/07/2013,YNB,South Korea,,,,,,,F
Haeun,Yoon Haeun,윤하은,하은,12/03/1999,3YE,21/05/2019,GH,South Korea,,163,,,,Apple.B,F
Haeun,Lee Haeun,윤하은,하은,25/06/2002,ARTBEAT,16/11/2022,AB Creative,South Korea,,157,,,,,F
Haeun,Lim Haeun,임하은,하은,2/11/2008,Lapillus,22/06/2022,MLD,South Korea,,,,,,,F
Haewon,Oh Haewon,오해원,해원,25/02/2003,NMIXX,22/02/2022,JYP,South Korea,,,,,,,F
Haeyeon,Lee Taeyeon,이태연,해연,11/01/1994,Gate9,26/01/1999,JYP| SidusHQ,South Korea,,161,,,,,F
Haeyoon,Park Haeyoon,박해윤,해윤,10/01/1996,Cherry Bullet,21/01/2019,FNC,South Korea,,157,43,,,,F
Hajeong,Lee Hajeong,이하정,하정,23/09/1997,,,,South Korea,,,,,,NeonPunch,F
Hakmin,Lee Hakmin,이학민,학민,20/09/2000,TRCNG,10/10/2017,TS,South Korea,,171,,,,,M
Hamin,Jo Hamin,조하민,하민,24/10/1997,ENOi,19/04/2019,KITHEWHALE,South Korea,,183,65,,,,M
Han,Han Jisung,한지성,한,14/09/2000,Stray Kids,25/03/2018,JYP,South Korea,,,,Incheon,3RACHA,,M
Han Geng,Han Geng,한경,한경,9/02/1984,,,,China,,181,66,Mudanjiang,,Super Junior,M
Han Hyeri,Han Hyeri,한혜리,한혜리,24/08/1997,I.B.I,29/10/2014,Star Crew,South Korea,,159,42,Gwangmyeong,,,F
Han Leeseul,Han Jiyoon,한지윤,한이슬,12/02/2000,Rockit Girl,30/05/2019,Rolling,South Korea,,,,,,,F
Hana,Shin Bora,신보라,하나,30/04/1993,Gugudan,28/06/2016,Jellyfish,South Korea,,,,,,,F
Hana,Hayase Hana,하야세 하나,하나,27/02/2000,ILY:1,4/04/2022,FC ENM,Japan,,165,,,,,F
Hana,Jung Hana,정하나,하나,2/02/1990,SECRET,13/10/2009,TS,South Korea,,,,Uljeongbu,,,F
Hanbin,Ngo Ngoc Hung,응오 응옥 흥,한빈,19/01/1998,TEMPEST,2/03/2022,Yuehua,Vietnam,,176,,,,,M
Hanbyeol,Ahn Hanbyeol,안한별,한별,13/10/2003,,,,South Korea,,166,44,,,Dreamnote,F
Hanbyul,Kyung Hanbyul,경한별,한별,1/07/2005,PRECIOUS,23/09/2020,Umi,South Korea,,167,49,Seoul,,,F
Handong,Han Dong,한동,한동,26/03/1996,Dreamcatcher,13/01/2017,Happy Face,China,,,,Wuhan,,,F
Haneul,Lee Haneul,이하늘,하늘,3/06/1996,ARGON,11/03/2019,MSH,South Korea,,175,,,,,M
Haneul,Choi Haneul,최하늘,하늘,28/11/2000,Saturday,18/07/2018,SD,South Korea,,158,43,,,,F
Hangyeom,Song Hangyeom,송한겸,한겸,17/07/1996,OMEGA X,17/10/2016,JT Corea,South Korea,,,,,,7 O'clock,M
Hangyul,Lee Hangyul,이한결,한결,7/12/1999,BAE173,19/11/2020,PocketDol,South Korea,,177,,,,X1| IM,M
Hani,Ahn Hee-yeon,안희연,하니,1/05/1992,EXID,16/02/2012,Yedang,South Korea,,168,,Seoul,,,F
Hankook,Cho Hankook,조한국,한국,3/04/2002,TRENDZ,5/01/2022,Interpark,South Korea,,,,Seoul,,,M
Hanna,Shin Jiyeon,신지연,한나,19/02/1994,MIXX,2/05/2016,Chiko,South Korea,,170,48,,,,F
Hannah,Bae Hyunyoung,배현영,해나,23/10/1999,Queenz Eye,24/10/2022,Big Mountain,South Korea,,,,Seongnam,,,F
Hanni,Pham Ngoc Han,팜응옥헌,하니,6/10/2004,NewJeans,22/07/2022,ADOR,Vietnam,,162,,Melbourne,,,F
Hanse,Do Hanse,도한세,한세,25/09/1997,VICTON,9/11/2016,Plan A,South Korea,,,,,,,M
Hansol,Kim Hansol,김한솔,한솔,15/06/1993,,,,South Korea,,,,Busan,,Topp Dogg,M
Hanwoom,Byun Hanwoom,변한움,한움,5/06/2001,PRECIOUS,23/09/2020,Umi,South Korea,,160,43,Seoul,,,F
Hara†,Koo Hara,구하라,하라,13/01/1991,KARA,29/03/2007,DSP,South Korea,,,,Gwangju,,,F
Haram,Shin Haram,신하람,하람,17/10/2007,BABYMONSTER,0/01/1900,YG,South Korea,,,,,,,F
Haram,Kim Haram,김하람,하람,13/01/2001,Billlie,10/11/2021,MYSTIC,South Korea,,161,45,,,,F
Hari,,,하리,8/04/2005,Girls' World,20/06/2002,Liz,Japan,,,,Kagoshima,,,F
Harin,Seo Harin,서하린,하린,7/12/2000,BOTOPASS,26/08/2020,WKS ENE,South Korea,,,,,,,F
Harin,,,하린,21/11/1995,Lusty,26/06/2019,babaplay,South Korea,,160,43,Seoul,,,F
Harin,Ju Harin,주하린,주하린,29/03/1998,Onewe,9/01/2019,RBW,South Korea,,,,,,MAS,M
Harin,Park Guenhye,박근혜,하린,26/05/2000,Pink Fantasy,28/10/2018,My Doll,South Korea,,164,48,,,,F
Harry-June,Han Harry-June,한해리준,해리준,1/01/2004,DKB,3/02/2020,Brave,South Korea,,178,61,,,,M
Haru,Han Sangsook,한상숙,하루,6/07/1994,Gate9,26/01/1999,JYP| SidusHQ,South Korea,,160,,Bucheon,,,F
Haru,Lee Yoojeong,이유정,하루,26/02/1997,Ho1iday,26/04/2013,LOEN,South Korea,,164,,,,MyB,F
Haru,Abe Haruno,아베 하루노,하루,21/02/2000,NATURE,3/08/2018,n.CH,Japan,,,,,,,F
Haruna,Osato Haruna,오사토 하루나,하루나,30/01/2006,Billlie,10/11/2021,MYSTIC,Japan,,,,,,,F
Haruto,Watanabe Haruto,와타나베 하루토,하루토,5/04/2004,Treasure,7/08/2020,YG,Japan,,,,,,,M
Haseul,Jo Haseul,조하슬,하슬,18/08/1997,LOONA,20/08/2018,Blockberry,South Korea,,,,Ansan,Loona 1/3,,F
Havit,Lee Havit,이하빛,하빛,7/06/1999,TRENDZ,5/01/2022,Interpark,South Korea,,,,Incheon,,,M
