"cerealName","parsedName","brand","dietLabels","healthLabels","calories","Energy_kcal","Total.lipid..fat._g","Fatty.acids..total.saturated_g","Fatty.acids..total.trans_g","Fatty.acids..total.monounsaturated_g","Fatty.acids..total.polyunsaturated_g","Carbohydrate..by.difference_g","Carbohydrates..net._g","Fiber..total.dietary_g","Sugars..total_g","Protein_g","Cholesterol_mg","Sodium..Na_mg","Calcium..Ca_mg","Magnesium..Mg_mg","Potassium..K_mg","Iron..Fe_mg","Zinc..Zn_mg","Phosphorus..P_mg","Vitamin.A..RAE_µg","Vitamin.C..total.ascorbic.acid_mg","Thiamin_mg","Riboflavin_mg","Niacin_mg","Vitamin.B.6_mg","Folate..DFE_µg","Folate..food_µg","Folic.acid_µg","Vitamin.B.12_µg","Vitamin.D..D2...D3._µg","Vitamin.E..alpha.tocopherol._mg","Vitamin.K..phylloquinone._µg","Water_g","Energy_pct","Fat_pct","Saturated_pct","Carbs_pct","Fiber_pct","Protein_pct","Cholesterol_pct","Sodium_pct","Calcium_pct","Magnesium_pct","Potassium_pct","Iron_pct","Zinc_pct","Phosphorus_pct","Vitamin.A_pct","Vitamin.C_pct","Thiamin..B1._pct","Riboflavin..B2._pct","Niacin..B3._pct","Vitamin.B6_pct","Folate.equivalent..total._pct","Vitamin.B12_pct","Vitamin.D_pct","Vitamin.E_pct","Vitamin.K_pct","rawGPTRank","gptDescription"
"Crispix","unparsed","kellog","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DASH, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",107,107.01,0.32,0.09,0,0.09,0.12,25.2,24.39,0.81,3.36,1.65,0,177.19,3.48,6.96,36.54,8.47,1.51,25.23,143.26,6.09,0.52,0.59,6.99,0.7,472.41,5.51,274.63,1.8,1.01,0.04,0,0.87,5.35,0.49,0.44,8.4,3.25,3.31,0,7.38,0.35,1.66,0.78,47.04,13.71,3.6,15.92,6.77,43.74,45.73,43.68,53.76,118.1,74.92,6.77,0.27,0,"I would give Crispix cereal a rank of 6.5.","Crispix : ’s is a classic cereal made from crunchy wheat and rice cereal pieces. It offers a light and subtly sweet taste that’s perfect for a delicious breakfast or snack."
"Crispy Wheat with Raisins","unparsed","quaker","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, VEGAN, VEGETARIAN, PESCATARIAN, PALEO, SPECIFIC_CARBS, MEDITERRANEAN, DASH, DAIRY_FREE, GLUTEN_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, NO_SUGAR_ADDED, SULPHITE_FREE, KOSHER",433,433.55,0.67,0.08,NA,0.07,0.05,114.81,109.45,5.36,85.83,4.45,0,15.95,72.5,46.4,1086.05,2.73,0.32,146.45,0,3.34,0.15,0.18,1.11,0.25,7.25,7.25,0,0,0,0.17,5.08,22.37,21.68,1.03,0.42,38.27,21.46,8.9,0,0.66,7.25,11.05,23.11,15.14,2.9,20.92,0,3.71,12.81,13.94,6.94,19.41,1.81,0,0,1.16,4.23,"5.5","Crispy Wheat with Raisins :  is a crunchy and sweet breakfast cereal made with whole wheat and real raisins. Ideal for little ones and health-conscious adults alike, this cereal is a great way to start your day."
"Crunchy Pecan","unparsed","post","LOW_CARB, LOW_SODIUM","SUGAR_CONSCIOUS, LOW_POTASSIUM, KIDNEY_FRIENDLY, KETO_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, PALEO, SPECIFIC_CARBS, MEDITERRANEAN, DASH, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, NO_SUGAR_ADDED, SULPHITE_FREE, FODMAP_FREE, KOSHER",684,684.09,71.25,6.12,NA,40.39,21.4,13.72,4.22,9.5,3.93,9.08,0,0,69.3,119.79,405.9,2.5,4.48,274.23,2.97,1.09,0.65,0.13,1.16,0.21,21.78,21.78,0,0,0,1.39,3.46,3.48,34.2,109.62,30.59,4.57,38.02,18.16,0,0,6.93,28.52,8.64,13.91,40.77,39.18,0.33,1.21,54.45,9.9,7.22,15.99,5.44,0,0,9.24,2.89,"9.2","Crunchy Pecan :  is a tasty and nutritious cereal with whole grain wheat, oats and crunchy pecans that provide an excellent source of fiber. It is also low in fat, contains no artificial flavors or preservatives and is a good source of energy."
"Fiber with Dates, Raisins, Walnuts","unparsed","quaker","LOW_CARB, LOW_SODIUM","SUGAR_CONSCIOUS, LOW_POTASSIUM, KIDNEY_FRIENDLY, KETO_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, PALEO, SPECIFIC_CARBS, MEDITERRANEAN, DASH, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, NO_SUGAR_ADDED, SULPHITE_FREE, KOSHER",784,784.8,78.25,7.35,NA,10.72,56.61,16.45,8.41,8.04,3.13,18.28,0,2.4,117.6,189.6,529.2,3.49,3.71,415.2,1.2,1.56,0.41,0.18,1.35,0.64,117.6,117.6,0,0,0,0.84,3.24,4.88,39.24,120.39,36.76,5.48,32.16,36.55,0,0.1,11.76,45.14,11.26,19.4,33.71,59.31,0.13,1.73,34.1,13.85,8.44,49.57,29.4,0,0,5.6,2.7,"8.5","Fiber with Dates, Raisins, Walnuts : This cereal is made by Quaker and contains fiber, dates, raisins, and walnuts for a healthy breakfast or snack."
"Fiber, Oat Bran","unparsed","generalMills","HIGH_FIBER, LOW_SODIUM","SUGAR_CONSCIOUS, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DASH, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, NO_SUGAR_ADDED, SULPHITE_FREE, FODMAP_FREE, KOSHER",231,231.24,6.61,1.25,NA,2.23,2.6,62.25,47.77,14.48,1.36,16.26,0,3.76,54.52,220.9,532.04,5.09,2.92,689.96,0,0,1.1,0.21,0.88,0.16,48.88,48.88,0,0,0,0.95,3.01,6.16,11.56,10.17,6.24,20.75,57.9,32.52,0,0.16,5.45,52.6,11.32,28.25,26.58,98.57,0,0,91.65,15.91,5.49,11.93,12.22,0,0,6.33,2.51,"8.5","Fiber, Oat Bran :  is a whole grain and nutty, toasted oat cereal that is high in fiber and is a good source of protein, vitamins, and minerals. It has a subtle sweetness that pairs perfectly with milk or yogurt for a balanced breakfast."
"Frosted Cheerios General Mills","unparsed","generalMills","LOW_FAT, LOW_SODIUM","LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",141,141.12,1.57,0.37,0,0.56,0.56,30.5,28.11,2.39,11.98,3.02,0,227.73,138.13,33.6,81.76,6.23,5.19,82.88,206.83,8.29,0.52,0.6,6.91,0.69,465.17,7.09,269.55,2.09,1.38,0.1,0.49,0.82,7.06,2.41,1.87,10.17,9.56,6.05,0,9.49,13.81,8,1.74,34.64,47.18,11.84,22.98,9.21,43.56,45.95,43.17,53.19,116.29,87.11,9.21,0.67,0.4,"8.5","Frosted Cheerios General Mills :  is a breakfast cereal made with crunchy Cheerios, oven-toasted oats, and lightly sweetened with a touch of sugar. It is a perfect blend of taste and nutrition to help nourish your family's mornings."
"Frosted Flakes","unparsed","kellog","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",147,147.6,0.67,0.18,0,0.11,0.27,35.68,34.8,0.88,14.17,1.58,0,187.2,1.2,3.2,30.4,10.68,0.06,18.8,180,9.68,0.76,0.69,11.07,1.43,254,7.6,144.8,3.24,1.88,0.03,0.08,1.67,7.38,1.03,0.9,11.89,3.52,3.17,0,7.8,0.12,0.76,0.65,59.33,0.55,2.69,20,10.76,63.43,53.23,69.17,109.94,63.5,135,12.53,0.19,0.07,"8.5","Frosted Flakes : 's is a sweet and crunchy cereal consisting of toasted flakes made with corn. It is a popular choice among both children and adults alike, with the trademark 'They're Gr-r-reat!'"
"Fruit & Fiber, Dates, Raisins, and Walnuts","unparsed","post","LOW_CARB, LOW_SODIUM","SUGAR_CONSCIOUS, LOW_POTASSIUM, KIDNEY_FRIENDLY, KETO_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, PALEO, SPECIFIC_CARBS, MEDITERRANEAN, DASH, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, NO_SUGAR_ADDED, SULPHITE_FREE, KOSHER",353,353.16,35.21,3.31,NA,4.82,25.47,7.4,3.79,3.62,1.41,8.22,0,1.08,52.92,85.32,238.14,1.57,1.67,186.84,0.54,0.7,0.18,0.08,0.61,0.29,52.92,52.92,0,0,0,0.38,1.46,2.2,17.66,54.17,16.54,2.47,14.47,16.45,0,0.04,5.29,20.31,5.07,8.73,15.17,26.69,0.06,0.78,15.35,6.23,3.8,22.31,13.23,0,0,2.52,1.22,"I am unable to provide an accurate ranking for ""Fruit & Fiber Dates Raisins and Walnuts"" as it is not a distinct food item. Can you please provide more details?","Fruit & Fiber, Dates, Raisins, and Walnuts :  is a nutritious and delicious cereal, with a mix of crunchy raisins, dates, and walnuts, adding a touch of sweetness and a healthy dose of fibre."
"Fruity Pebbles","unparsed","post","LOW_FAT, LOW_SODIUM","LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",144,144.72,1.44,1.3,0.04,0.07,0.04,31,30.71,0.29,12.38,1.66,0,191.52,6.84,5.76,25.92,2.41,2.02,25.56,299.88,7.99,0.5,0.58,6.66,0.68,225.72,1.44,131.76,2.02,2.66,0.05,0.47,1.08,7.24,2.22,6.48,10.33,1.15,3.31,0,7.98,0.68,1.37,0.55,13.4,18.33,3.65,33.32,8.88,42,44.31,41.62,52.62,56.43,84,17.76,0.31,0.39,"I would rank Fruity Pebbles made by Post Cereal as 6.5.","Fruity Pebbles :  is a sugary cereal containing small, colorful pieces that turn milk into fun, fruity flavored milk. The cereal pieces are made from Rice, Corn, Glucose Syrup and Sugar, and are designed to resemble rocks making them an ideal cereal for dinosaur fans!"
"General Mills Apple Cinnamon Cheerios","unparsed","generalMills","LOW_SODIUM","LOW_FAT_ABS, SUGAR_CONSCIOUS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",105,105.28,1.88,0.42,0.01,0.67,0.68,20.5,17.87,2.63,1.22,3.39,0,139.16,112.28,31.92,179.48,9.29,4.68,134.68,277.2,6.05,0.37,0.03,5.87,0.67,336.28,5.32,194.6,1.9,0.95,0.18,0.5,1.44,5.26,2.9,2.1,6.83,10.53,6.77,0,5.8,11.23,7.6,3.82,51.6,42.59,19.24,30.8,6.72,30.96,2.15,36.69,51.48,84.07,78.98,6.35,1.21,0.42,"8","General Mills Apple Cinnamon Cheerios :  is a higher fiber cereal for breakfast. It combines the delicious taste of apples and cinnamon for a tasty breakfast treat."
"General Mills Cheerios","unparsed","generalMills","LOW_SODIUM","LOW_FAT_ABS, SUGAR_CONSCIOUS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",105,105.28,1.88,0.42,0.01,0.67,0.68,20.5,17.87,2.63,1.22,3.39,0,139.16,112.28,31.92,179.48,9.29,4.68,134.68,277.2,6.05,0.37,0.03,5.87,0.67,336.28,5.32,194.6,1.9,0.95,0.18,0.5,1.44,5.26,2.9,2.1,6.83,10.53,6.77,0,5.8,11.23,7.6,3.82,51.6,42.59,19.24,30.8,6.72,30.96,2.15,36.69,51.48,84.07,78.98,6.35,1.21,0.42,"7.5","General Mills Cheerios :  is a popular, light and crunchy cereal made from oats and has been around since 1941. It is a low-sugar cereal and often seen as a healthy breakfast option."
"General Mills Cinnamon Toast Crunch","unparsed","generalMills","LOW_SODIUM","LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",169,169.88,4.24,0.4,0.01,2.03,0.87,32.24,29.43,2.81,12.52,2.25,0,236.43,183.52,22.32,83.08,8.47,7.49,82.25,379.44,8.02,1.02,0.85,10.14,1.12,253.37,7.85,144.25,2.75,2.19,0.88,3.89,1.34,8.49,6.52,2.02,10.75,11.24,4.51,0,9.85,18.35,5.31,1.77,47.03,68.09,11.75,42.16,8.91,84.97,65.72,63.38,85.85,63.34,114.53,14.6,5.9,3.24,"8.5","General Mills Cinnamon Toast Crunch :  is a delicious cereal made of crispy cinnamon squares with a sweet crunchy flavor. It is a sweet tasting cereal that is perfect for a morning or mid day snack."
"General Mills Cocoa Puffs","unparsed","generalMills","LOW_FAT, LOW_SODIUM","LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",137,137.88,1.87,0.36,0,0.61,0.76,30.13,28.08,2.05,13.39,2.02,0,203.04,133.2,21.24,97.92,6.01,5,79.92,189.72,7.99,0.5,0.58,6.66,0.67,221.76,6.84,126.36,2.02,1.33,0.25,0.76,0.65,6.89,2.88,1.8,10.04,8.21,4.03,0,8.46,13.32,5.06,2.08,33.4,45.49,11.42,21.08,8.88,42,44.31,41.62,51.29,55.44,84,8.88,1.68,0.63,"6.5","General Mills Cocoa Puffs :  is a chocolatey, sweetened cocoa cereal made with cornmeal, wheat flour, sugar and artificial flavor. The chocolate-flavored puff pieces have it all: crunchy corn, yummy frosting and a good source of Calcium and other essential vitamins and minerals."
"General Mills Corn Chex","unparsed","generalMills","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",114,114.7,0.74,0.12,0,0.19,0.4,26.32,24.58,1.74,3.44,1.98,0,235.6,100.13,8.06,60.45,8.99,3.75,39.99,286.44,8.99,0.74,0.5,4.99,0.6,335.73,5.89,194.06,2.39,1.49,0.09,0.06,0.77,5.74,1.14,0.62,8.77,6.94,3.97,0,9.82,10.01,1.92,1.29,49.94,34.1,5.71,31.83,9.99,62,38.15,31.19,46.17,83.93,99.46,9.92,0.6,0.05,"6.5","General Mills Corn Chex :  is a light and crunchy breakfast cereal that is made from corn blended with rice, wheat, and barley. It has a sweet, nutty flavour that is popular among children and adults alike."
"General Mills Frosted Cheerios","unparsed","generalMills","LOW_FAT, LOW_SODIUM","LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",141,141.12,1.57,0.37,0,0.56,0.56,30.5,28.11,2.39,11.98,3.02,0,227.73,138.13,33.6,81.76,6.23,5.19,82.88,206.83,8.29,0.52,0.6,6.91,0.69,465.17,7.09,269.55,2.09,1.38,0.1,0.49,0.82,7.06,2.41,1.87,10.17,9.56,6.05,0,9.49,13.81,8,1.74,34.64,47.18,11.84,22.98,9.21,43.56,45.95,43.17,53.19,116.29,87.11,9.21,0.67,0.4,"8.5","General Mills Frosted Cheerios :  is a breakfast cereal that is made with whole grain oats and lightly sweetened with natural sweeteners. The nutritious cereal is coated in a light layer of sweetness with a taste of real honey crunch to start your day off right."
"General Mills Golden Grahams","unparsed","generalMills","LOW_FAT","LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",154,154.59,1.32,0.17,0,0.66,0.41,35.17,32.86,2.31,14.47,2.19,0,319.09,133.51,10.75,85.15,5.99,5,53.32,195.09,8.02,0.5,0.58,6.65,0.67,221.13,7.85,125.65,1.98,1.32,0.26,0.83,0.91,7.73,2.03,0.83,11.72,9.26,4.38,0,13.3,13.35,2.56,1.81,33.3,45.47,7.62,21.68,8.91,41.33,44.51,41.59,51.29,55.28,82.67,8.82,1.76,0.69,"I would give General Mills Golden Grahams a rank of 8.","General Mills Golden Grahams :  is a crunchy cereal made from wheat, corn, and all natural honey. It is shaped like miniature rectangles and is suitable for any meal of the day."
"General Mills Honey Nut Cheerios","unparsed","generalMills","LOW_FAT, LOW_SODIUM","LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",140,140.37,1.87,0.2,0,0.41,0.38,29.75,27.1,2.65,12.28,3.3,0,211.31,158.67,33.6,153.81,7.68,6.41,122.45,311.36,7.99,0.72,0.7,7.99,0.85,412.91,7.09,238.93,2.8,1.72,0.18,0.86,1.07,7.02,2.87,0.99,9.92,10.6,6.61,0,8.8,15.87,8,3.27,42.68,58.27,17.49,34.6,8.88,59.64,53.62,49.93,65.1,103.23,116.67,11.45,1.19,0.72,"8.5","General Mills Honey Nut Cheerios :  is a popular breakfast cereal made with whole grain oat oops and featuring the sweet taste of honey and nuts. It is a healthy and tasty cereal that is an excellent source of iron and several essential vitamins and minerals."
"General Mills Honey Nut Chex","unparsed","generalMills","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",160,160,0.85,0.21,0,0.21,0.43,36.98,35.32,1.66,11.99,2.69,0,256,133.55,10.67,93.44,6.02,4.99,26.88,184.32,8.02,0.51,0.55,6.66,0.67,221.01,8.11,125.44,2,1.32,0.09,0.04,0.94,8,1.31,1.07,12.33,6.66,5.38,0,10.67,13.35,2.54,1.99,33.42,45.34,3.84,20.48,8.91,42.67,42.34,41.6,51.2,55.25,83.38,8.82,0.6,0.04,"8.5","General Mills Honey Nut Chex :  is a tasty cereal with a sweet nutty taste and crunchy texture. It is made with whole grain wheat, rice, and corn, plus honey and almonds for a delicious flavor."
"General Mills Honey Nut Clusters","unparsed","generalMills","LOW_CARB, LOW_SODIUM","SUGAR_CONSCIOUS, LOW_SUGAR, KIDNEY_FRIENDLY, KETO_FRIENDLY, VEGETARIAN, PESCATARIAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, KOSHER",813,813.78,70.49,9.45,NA,43.01,14.75,34.73,22.4,12.33,NA,23.7,0,16.44,95.9,308.25,817.89,5.07,5.21,595.95,1.37,0.55,0.27,0.27,6.44,0.41,68.5,68.5,0,0,0,NA,NA,2.4,40.69,108.44,47.26,11.58,49.32,47.4,0,0.69,9.59,73.39,17.4,28.16,47.33,85.14,0.15,0.61,22.83,21.08,40.24,31.19,17.12,0,0,NA,NA,"8.5","General Mills Honey Nut Clusters :  is a crunchy and delicious cereal with multigrain pieces and real honey-flavored nut clusters for a naturally sweet snack. Made with real whole grain, it's a filling and nutritious breakfast for the whole family."
"General Mills Kix","unparsed","generalMills","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",85,85.68,0.83,0.14,0.01,0.24,0.31,19.88,17.76,2.11,2.34,1.85,0,143.04,136.8,12.24,53.52,7.68,4.18,45.36,210.96,6.1,0.47,0.48,5.82,0.55,317.76,4.56,184.32,1.37,0.79,0.07,0.05,0.67,4.28,1.28,0.69,6.63,8.45,3.69,0,5.96,13.68,2.91,1.14,42.67,38.01,6.48,23.44,6.77,39.1,36.92,36.38,42.46,79.44,57,5.28,0.48,0.04,"6.5","General Mills Kix :  is a sweet and crunchy corn puff cereal with a delicious hint of honey. It has no added sugar and is a healthy way to start your day with a sweet, crunchy treat."
